fecha,nombre_n3,USADOS
oct. 22,Remedios Escalada de San Martín,56099
oct. 22,Centro,53280
oct. 22,Nuestra Sra. de Lourdes,60614
oct. 22,Barrio del Abasto,54991
oct. 22,Alberto Olmedo,61194
nov. 22,Nuestra Sra. de Lourdes,62655
nov. 22,Remedios Escalada de San Martín,58347
nov. 22,Luis Agote,55754
nov. 22,Centro,54329
nov. 22,Barrio del Abasto,56169
nov. 22,Alberto Olmedo,64473
dic. 22,Nuestra Sra. de Lourdes,64313
dic. 22,Remedios Escalada de San Martín,59812
dic. 22,Luis Agote,60288
dic. 22,Centro,56794
dic. 22,Barrio del Abasto,58775
dic. 22,Alberto Olmedo,66624
ene. 23,Barrio del Abasto,60463
ene. 23,Alberto Olmedo,69503
ene. 23,Centro,59930
ene. 23,Nuestra Sra. de Lourdes,68067
ene. 23,Luis Agote,64028
ene. 23,Remedios Escalada de San Martín,61537
feb. 23,Nuestra Sra. de Lourdes,74148
feb. 23,Luis Agote,62275
feb. 23,Centro,64206
feb. 23,Barrio del Abasto,60623
feb. 23,Alberto Olmedo,73856
feb. 23,Remedios Escalada de San Martín,66059
mar. 23,Alberto Olmedo,79161
mar. 23,Centro,68945
mar. 23,Nuestra Sra. de Lourdes,77090
mar. 23,Luis Agote,62387
mar. 23,Remedios Escalada de San Martín,71254
mar. 23,Barrio del Abasto,66427
abr. 23,Luis Agote,69632
abr. 23,Centro,74081
abr. 23,Barrio del Abasto,75719
abr. 23,Nuestra Sra. de Lourdes,83256
abr. 23,Alberto Olmedo,85564
abr. 23,Remedios Escalada de San Martín,75288
may. 23,Nuestra Sra. de Lourdes,92868
may. 23,Barrio del Abasto,82756
may. 23,Alberto Olmedo,92034
may. 23,Remedios Escalada de San Martín,81758
may. 23,Luis Agote,74927
may. 23,Centro,80181
jun. 23,Remedios Escalada de San Martín,90009
jun. 23,Alberto Olmedo,93911
jun. 23,Nuestra Sra. de Lourdes,99913
jun. 23,Centro,88095
jun. 23,Barrio del Abasto,87914
jun. 23,Luis Agote,82250
jul. 23,Alberto Olmedo,95451
jul. 23,Nuestra Sra. de Lourdes,112717
jul. 23,Remedios Escalada de San Martín,98899
jul. 23,Barrio del Abasto,94132
jul. 23,Luis Agote,90780
jul. 23,Centro,95709
ago. 23,Luis Agote,100168
ago. 23,Nuestra Sra. de Lourdes,126908
ago. 23,Barrio del Abasto,105110
ago. 23,Remedios Escalada de San Martín,107235
ago. 23,Centro,106394
ago. 23,Alberto Olmedo,106308
sep. 23,Centro,119771
sep. 23,Alberto Olmedo,120997
sep. 23,Luis Agote,112120
sep. 23,Remedios Escalada de San Martín,119129
sep. 23,Barrio del Abasto,114273
sep. 23,Nuestra Sra. de Lourdes,135738
oct. 23,Barrio del Abasto,138820
oct. 23,Centro,137217
oct. 23,Nuestra Sra. de Lourdes,148641
oct. 23,Luis Agote,129652
oct. 23,Alberto Olmedo,136507
oct. 23,Remedios Escalada de San Martín,133690
nov. 23,Centro,155358
nov. 23,Nuestra Sra. de Lourdes,168923
nov. 23,Remedios Escalada de San Martín,149551
nov. 23,Luis Agote,148566
nov. 23,Barrio del Abasto,167466
nov. 23,Alberto Olmedo,154640
dic. 23,Centro,169912
dic. 23,Nuestra Sra. de Lourdes,190920
dic. 23,Barrio del Abasto,181101
dic. 23,Remedios Escalada de San Martín,169421
dic. 23,Luis Agote,152748
dic. 23,Alberto Olmedo,179787
ene. 24,Remedios Escalada de San Martín,190642
ene. 24,Alberto Olmedo,204388
ene. 24,Centro,191732
ene. 24,Nuestra Sra. de Lourdes,206613
ene. 24,Luis Agote,175181
ene. 24,Barrio del Abasto,197797
feb. 24,Remedios Escalada de San Martín,205374
feb. 24,Centro,206543
feb. 24,Barrio del Abasto,212383
feb. 24,Nuestra Sra. de Lourdes,215669
feb. 24,Luis Agote,202153
feb. 24,Alberto Olmedo,221414
mar. 24,Remedios Escalada de San Martín,213108
mar. 24,Centro,211163
mar. 24,Alberto Olmedo,233070
mar. 24,Nuestra Sra. de Lourdes,224423
mar. 24,Luis Agote,208423
mar. 24,Barrio del Abasto,223151
abr. 24,Remedios Escalada de San Martín,216919
abr. 24,Centro,217819
abr. 24,Alberto Olmedo,236573
abr. 24,Nuestra Sra. de Lourdes,232814
abr. 24,Luis Agote,211234
abr. 24,Barrio del Abasto,231526
may 24,Alberto Olmedo,239888
may 24,Remedios Escalada de San Martín,220373
may 24,Luis Agote,214714
may 24,Barrio del Abasto,233499
may 24,Centro,225391
may 24,Nuestra Sra. de Lourdes,238856
jun 24,Luis Agote,219171
jun 24,Barrio del Abasto,231312
jun 24,Alberto Olmedo,248218
jun 24,Nuestra Sra. de Lourdes,243903
jun 24,Centro,231023
jun 24,Remedios Escalada de San Martín,231266
jul 24,Luis Agote,227726
jul 24,Barrio del Abasto,235516
jul 24,Alberto Olmedo,255603
jul 24,Nuestra Sra. de Lourdes,251830
jul 24,Centro,238087
jul 24,Remedios Escalada de San Martín,240223
ago 24,Luis Agote,233716
ago 24,Remedios Escalada de San Martín,250933
ago 24,Centro,251817
ago 24,Nuestra Sra. de Lourdes,266094
ago 24,Alberto Olmedo,265705
ago 24,Barrio del Abasto,242252
sep 24,Centro,265573
sep 24,Remedios Escalada de San Martín,264062
sep 24,Alberto Olmedo,279952
sep 24,Nuestra Sra. de Lourdes,282333
sep 24,Luis Agote,246646
sep 24,Barrio del Abasto,256408
oct 24,Centro,278813
oct 24,Remedios Escalada de San Martín,273125
oct 24,Alberto Olmedo,286372
oct 24,Nuestra Sra. de Lourdes,293099
oct 24,Luis Agote,270773
oct 24,Barrio del Abasto,278282
